Date,ID,Open,High,Low,Close
01-Jan-20,1,12202.15,12222.2,12165.3,12182.5
02-Jan-20,2,12198.55,12289.9,12195.25,12282.2
03-Jan-20,3,12261.1,12265.6,12191.35,12226.65
06-Jan-20,4,12170.6,12179.1,11974.2,11993.05
07-Jan-20,5,12079.1,12152.15,12005.35,12052.95
08-Jan-20,6,11939.1,12044.95,11929.6,12025.35
09-Jan-20,7,12153.15,12224.05,12132.55,12215.9
10-Jan-20,8,12271,12311.2,12213.2,12256.8
13-Jan-20,9,12296.7,12337.75,12285.8,12329.55
14-Jan-20,10,12333.1,12374.25,12308.7,12362.3
15-Jan-20,11,12349.4,12355.15,12278.75,12343.3
16-Jan-20,12,12347.1,12389.05,12315.8,12355.5
17-Jan-20,13,12328.4,12385.45,12321.4,12352.35
20-Jan-20,14,12430.5,12430.5,12216.9,12224.55
21-Jan-20,15,12195.3,12230.05,12162.3,12169.85
22-Jan-20,16,12218.35,12225.05,12087.9,12106.9
23-Jan-20,17,12123.75,12189,12094.1,12180.35
24-Jan-20,18,12174.55,12272.15,12149.65,12248.25
27-Jan-20,19,12197.1,12216.6,12107,12119
28-Jan-20,20,12148.1,12163.55,12024.5,12055.8
29-Jan-20,21,12114.9,12169.6,12103.8,12129.5
30-Jan-20,22,12147.75,12150.3,12010.6,12035.8
31-Jan-20,23,12100.4,12103.55,11945.85,11962.1
01-Feb-20,24,11939,12017.35,11633.3,11661.85
03-Feb-20,25,11627.45,11749.85,11614.5,11707.9
04-Feb-20,26,11786.25,11986.15,11783.4,11979.65
05-Feb-20,27,12005.85,12098.15,11953.35,12089.15
06-Feb-20,28,12120,12160.6,12084.65,12137.95
07-Feb-20,29,12151.15,12154.7,12073.95,12098.35
10-Feb-20,30,12102.35,12103.55,11990.75,12031.5
11-Feb-20,31,12108.4,12172.3,12099,12107.9
12-Feb-20,32,12151,12231.75,12144.3,12201.2
13-Feb-20,33,12219.55,12225.65,12139.8,12174.65
14-Feb-20,34,12190.15,12246.7,12091.2,12113.45
17-Feb-20,35,12131.8,12159.6,12037,12045.8
18-Feb-20,36,12028.25,12030.75,11908.05,11992.5
19-Feb-20,37,12090.6,12134.7,12042.1,12125.9
20-Feb-20,38,12119,12152,12071.45,12080.85
24-Feb-20,39,12012.55,12012.55,11813.4,11829.4
25-Feb-20,40,11877.5,11883.05,11779.9,11797.9
26-Feb-20,41,11738.55,11783.25,11639.6,11678.5
27-Feb-20,42,11661.25,11663.85,11536.7,11633.3
28-Feb-20,43,11382,11384.8,11175.05,11201.75
02-Mar-20,44,11387.35,11433,11036.25,11132.75
03-Mar-20,45,11217.55,11342.25,11152.55,11303.3
04-Mar-20,46,11351.35,11356.6,11082.15,11251
05-Mar-20,47,11306.05,11389.5,11244.6,11269
06-Mar-20,48,10942.65,11035.1,10827.4,10989.45
09-Mar-20,49,10742.05,10751.55,10294.45,10451.45
11-Mar-20,50,10334.3,10545.1,10334,10458.4
12-Mar-20,51,10039.95,10040.75,9508,9590.15
13-Mar-20,52,9107.6,10159.4,8555.15,9955.2
16-Mar-20,53,9587.8,9602.2,9165.1,9197.4
17-Mar-20,54,9285.4,9403.8,8915.6,8967.05
18-Mar-20,55,9088.45,9127.55,8407.05,8468.8
19-Mar-20,56,8063.3,8575.45,7832.55,8263.45
20-Mar-20,57,8284.45,8883,8178.2,8745.45
23-Mar-20,58,7945.7,8159.25,7583.6,7610.25
24-Mar-20,59,7848.3,8036.95,7511.1,7801.05
25-Mar-20,60,7735.15,8376.75,7714.75,8317.85
26-Mar-20,61,8451,8749.05,8304.9,8641.45
27-Mar-20,62,8949.1,9038.9,8522.9,8660.25
30-Mar-20,63,8385.95,8576,8244,8281.1
31-Mar-20,64,8529.35,8678.3,8358,8597.75
01-Apr-20,65,8584.1,8588.1,8198.35,8253.8
03-Apr-20,66,8356.55,8356.55,8055.8,8083.8
07-Apr-20,67,8446.3,8819.4,8360.95,8792.2
08-Apr-20,68,8688.9,9131.7,8653.9,8748.75
09-Apr-20,69,8973.05,9128.35,8904.55,9111.9
13-Apr-20,70,9103.95,9112.05,8912.4,8993.85
15-Apr-20,71,9196.4,9261.2,8874.1,8925.3
16-Apr-20,72,8851.25,9053.75,8821.9,8992.8
17-Apr-20,73,9323.45,9324,9091.35,9266.75
20-Apr-20,74,9390.2,9390.85,9230.8,9261.85
21-Apr-20,75,9016.95,9044.4,8909.4,8981.45
22-Apr-20,76,9026.75,9209.75,8946.25,9187.3
23-Apr-20,77,9232.35,9343.6,9170.15,9313.9
24-Apr-20,78,9163.9,9296.9,9141.3,9154.4
27-Apr-20,79,9259.7,9377.1,9250.35,9282.3
28-Apr-20,80,9389.8,9404.4,9260,9380.9
29-Apr-20,81,9408.6,9599.85,9392.35,9553.35
30-Apr-20,82,9753.5,9889.05,9731.5,9859.9
04-May-20,83,9533.5,9533.5,9266.95,9293.5
05-May-20,84,9429.4,9450.9,9190.75,9205.6
06-May-20,85,9226.8,9346.9,9116.5,9270.9
07-May-20,86,9234.05,9277.85,9175.9,9199.05
08-May-20,87,9376.95,9382.65,9238.2,9251.5
11-May-20,88,9348.15,9439.9,9219.95,9239.2
12-May-20,89,9168.85,9240.85,9043.95,9196.55
13-May-20,90,9584.2,9584.5,9351.1,9383.55
14-May-20,91,9213.95,9281.1,9119.75,9142.75
15-May-20,92,9182.4,9182.4,9050,9136.85
18-May-20,93,9158.3,9158.3,8806.75,8823.25
19-May-20,94,8961.7,9030.35,8855.3,8879.1
20-May-20,95,8889.15,9093.8,8875.35,9066.55
21-May-20,96,9079.45,9178.55,9056.1,9106.25
