Actual,LSVR,Ridge,Lasso,Bay,Ensemble,LSTM
71.418,71.2464,71.2271,71.2595,71.2274,71.2434,71.58138296
71.275,71.3812,71.363,71.3948,71.3635,71.3792,71.27532714
71.155,71.2392,71.2213,71.2526,71.2217,71.2371,71.15560167
71.451,71.1197,71.1018,71.1329,71.102,71.1174,71.45092451
71.549,71.4137,71.3974,71.4276,71.3986,71.4131,71.54870031
71.439,71.5118,71.4957,71.5259,71.4969,71.5114,71.43895196
71.93,71.4033,71.3877,71.4174,71.3884,71.4029,71.9288287
71.513,71.889,71.8721,71.9035,71.8742,71.8889,71.51278267
72.025,71.4743,71.4548,71.4878,71.4556,71.4717,72.02361137
71.543,71.982,71.9598,71.9957,71.9612,71.9784,71.54271404
71.829,71.5039,71.4818,71.517,71.4821,71.4995,71.82805976
71.69,71.7898,71.7688,71.8036,71.7692,71.7864,71.68937775
71.453,71.6524,71.6316,71.6662,71.6316,71.6489,71.45291993
71.969,71.4168,71.3968,71.4302,71.3966,71.4134,71.96773948
72.17,71.927,71.9056,71.9409,71.9068,71.9238,72.16827965
71.989,72.1253,72.101,72.1389,72.1024,72.1207,71.98769372
71.928,71.9478,71.9241,71.9614,71.9245,71.943,71.92683327
71.645,71.8888,71.8682,71.9029,71.8687,71.8858,71.64448069
71.778,71.6069,71.5874,71.6207,71.5879,71.6043,71.77717643
71.875,71.7405,71.7234,71.755,71.7242,71.7396,71.87395452
71.577,71.8377,71.8225,71.8527,71.8237,71.8382,71.57663626
70.967,71.5411,71.5252,71.5554,71.526,71.5407,70.96803175
70.985,70.9337,70.9156,70.9466,70.9152,70.9309,70.98599057
71.58,70.9513,70.9342,70.9644,70.9342,70.9493,71.57962939
71.49,71.5481,71.5362,71.5634,71.5364,71.5499,71.48983529
71.145,71.4594,71.4477,71.4746,71.4476,71.4611,71.14562454
71.375,71.1144,71.1007,71.1286,71.1002,71.1144,71.37509837
71.075,71.3423,71.3295,71.357,71.3299,71.3434,71.07578468
70.799,71.0453,71.0328,71.0596,71.0324,71.046,0
70.971,70.7712,70.7568,70.7848,70.7554,70.7701,0
70.988,70.9412,70.9262,70.9549,70.9252,70.94,0
70.964,70.9561,70.9395,70.9695,70.9388,70.9541,0
70.509,70.932,70.9161,70.9454,70.9157,70.9305,0
70.645,70.4807,70.4643,70.4933,70.4627,70.478,0
71.11,70.6146,70.5986,70.6274,70.5978,70.6126,0
71.03,71.0741,71.0573,71.0873,71.0581,71.0727,0
70.825,70.9926,70.97,71.0046,70.9699,70.9873,0
70.975,70.7903,70.7684,70.8022,70.7675,70.7849,0
71.22,70.9397,70.9187,70.952,70.9183,70.9351,0
71.12,71.1811,71.1584,71.1934,71.1587,71.176,0
70.99,71.083,71.0612,71.0954,71.061,71.0782,0
70.924,70.9539,70.9323,70.9661,70.9319,70.949,0
71.237,70.8901,70.8714,70.9028,70.8711,70.8869,0
71.5,71.1993,71.1795,71.2121,71.1801,71.1961,0
71.364,71.4596,71.4392,71.4727,71.4404,71.4566,0
71.13,71.3247,71.3045,71.3376,71.3054,71.3215,0
71.09,71.0927,71.0722,71.1053,71.0725,71.0889,0
70.925,71.0543,71.0349,71.0671,71.0349,71.051,0
70.809,70.8898,70.8701,70.9022,70.8699,70.8861,0
70.725,70.7758,70.7572,70.7883,70.7567,70.7725,0
70.965,70.6934,70.6747,70.7059,70.6736,70.6897,0
70.82,70.9329,70.9153,70.946,70.9145,70.9302,0
70.745,70.7895,70.7708,70.8022,70.7692,70.7857,0
70.89,70.715,70.698,70.7279,70.6967,70.7123,0
70.953,70.8575,70.84,70.8704,70.8395,70.8549,0
70.98,70.9198,70.9018,70.9327,70.9014,70.917,0
70.76,70.946,70.926,70.9586,70.9252,70.9419,0
70.789,70.7284,70.7083,70.7408,70.7068,70.7238,0
70.775,70.7594,70.7413,70.7723,70.7395,70.7559,0
71.01,70.7456,70.7287,70.7587,70.7272,70.743,0
71.047,70.9786,70.9623,70.992,70.9616,70.9768,0
71.36,71.0153,70.9999,71.029,70.9995,71.0142,0
71.57,71.3246,71.3097,71.3387,71.3105,71.3246,0
71.79,71.5331,71.5186,71.5475,71.52,71.5338,0
72.15,71.7516,71.7379,71.7665,71.74,71.7532,0
71.966,72.1081,72.0929,72.1233,72.0956,72.1094,0
71.65,71.9268,71.9115,71.9418,71.9133,71.9275,0
71.945,71.6131,71.5979,71.6276,71.5991,71.6134,0
71.83,71.9057,71.8909,71.9207,71.8929,71.9068,0
71.746,71.7905,71.7742,71.8051,71.7759,71.7905,0
71.75,71.7071,71.6903,71.7215,71.6917,71.7066,0
71.792,71.7128,71.6979,71.7276,71.6992,71.7134,0
71.689,71.7553,71.7414,71.7703,71.7428,71.7566,0
71.48,71.6525,71.6391,71.6674,71.6405,71.654,0
71.26,71.4458,71.4331,71.4606,71.434,71.4473,0
71.505,71.2278,71.2151,71.2423,71.2155,71.2289,0
